Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,Population Group,Death Rate
171,Somalia,27318.0,1361.0,13182.0,12775.0,400466.0,16841795.0,10M - 50M,4.982063108573102
172,Congo,25375.0,386.0,24006.0,983.0,347815.0,5797805.0,1M - 10M,1.5211822660098522
173,Solomon Islands,24575.0,153.0,0.0,0.0,0.0,721159.0,< 1M,0.6225839267548322
174,San Marino,23427.0,122.0,23276.0,29.0,157634.0,34085.0,< 1M,0.5207666367866137
175,Timor-Leste,23415.0,138.0,23102.0,175.0,278529.0,1369429.0,1M - 10M,0.5893657911595132
176,Micronesia,22676.0,58.0,0.0,0.0,54967.0,117489.0,< 1M,0.25577703298641735
177,Burkina Faso,22025.0,396.0,21596.0,33.0,248995.0,22102838.0,10M - 50M,1.7979568671963677
178,Liechtenstein,21340.0,89.0,21237.0,14.0,112457.0,38387.0,< 1M,0.4170571696344892
179,Gibraltar,20399.0,111.0,16579.0,3709.0,534283.0,33704.0,< 1M,0.5441443208000392
180,Grenada,19680.0,238.0,19358.0,84.0,182981.0,113475.0,< 1M,1.2093495934959348
181,Bermuda,18766.0,157.0,18593.0,16.0,1024947.0,61939.0,< 1M,0.8366194180965576
182,Nicaragua,18491.0,225.0,4225.0,14041.0,0.0,6779100.0,1M - 10M,1.2168081769509491
183,South Sudan,18368.0,138.0,18115.0,115.0,410280.0,11618511.0,10M - 50M,0.7513066202090593
184,Tajikistan,17786.0,125.0,17264.0,397.0,0.0,9957464.0,1M - 10M,0.7027999550208028
185,Equatorial Guinea,17190.0,183.0,16883.0,124.0,365697.0,1496662.0,1M - 10M,1.0645724258289702
186,Tonga,16734.0,13.0,15638.0,1083.0,535009.0,107749.0,< 1M,0.07768614796223258
187,Samoa,16087.0,29.0,1605.0,14453.0,187397.0,202239.0,< 1M,0.1802697830546404
188,Monaco,16056.0,65.0,15982.0,9.0,78646.0,39783.0,< 1M,0.40483308420528147
189,Dominica,15760.0,74.0,15673.0,13.0,229344.0,72344.0,< 1M,0.46954314720812185
190,Djibouti,15690.0,189.0,15427.0,74.0,305941.0,1016097.0,1M - 10M,1.2045889101338432
191,Marshall Islands,15584.0,17.0,15528.0,39.0,0.0,60057.0,< 1M,0.10908624229979465
192,CAR,15368.0,113.0,15200.0,55.0,81294.0,5016678.0,1M - 10M,0.7352941176470588
193,Gambia,12586.0,372.0,12189.0,25.0,155686.0,2558482.0,1M - 10M,2.955665024630542
194,Saint Martin,12233.0,63.0,1399.0,10771.0,112382.0,39730.0,< 1M,0.5150004087304831
195,Vanuatu,12014.0,14.0,11976.0,24.0,24976.0,321832.0,< 1M,0.1165307141668054
196,Greenland,11971.0,21.0,2761.0,9189.0,164926.0,56973.0,< 1M,0.1754239411912121
197,Yemen,11945.0,2159.0,9124.0,662.0,329592.0,31154867.0,10M - 50M,18.07450816241105
198,Caribbean Netherlands,11661.0,38.0,10476.0,1147.0,30126.0,26647.0,< 1M,0.3258725666752422
199,Sint Maarten,11010.0,89.0,10905.0,16.0,62056.0,43966.0,< 1M,0.8083560399636693
200,Eritrea,10189.0,103.0,10086.0,0.0,23693.0,3662244.0,1M - 10M,1.0108941014819903
201,Niger,9931.0,312.0,8890.0,729.0,254538.0,26083660.0,10M - 50M,3.141677575269359
202,St. Vincent Grenadines,9585.0,123.0,9454.0,8.0,113504.0,111551.0,< 1M,1.2832550860719876
203,Antigua and Barbuda,9106.0,146.0,8954.0,6.0,18901.0,99509.0,< 1M,1.6033384581594552
204,Comoros,8992.0,161.0,8827.0,4.0,0.0,907419.0,< 1M,1.7904804270462635
205,Guinea-Bissau,8947.0,176.0,8656.0,115.0,145231.0,2063367.0,1M - 10M,1.9671398234044932
206,Liberia,8062.0,294.0,7766.0,2.0,139824.0,5305117.0,1M - 10M,3.6467377821880427
207,Sierra Leone,7760.0,126.0,0.0,0.0,259958.0,8306436.0,1M - 10M,1.6237113402061858
208,Chad,7652.0,194.0,4874.0,2584.0,191341.0,17413580.0,10M - 50M,2.5352848928384732
209,British Virgin Islands,7305.0,64.0,0.0,0.0,107339.0,30596.0,< 1M,0.8761122518822724
210,Cook Islands,7011.0,2.0,6993.0,16.0,19690.0,17571.0,< 1M,0.028526601055484237
211,Saint Kitts and Nevis,6592.0,46.0,6537.0,9.0,126903.0,53871.0,< 1M,0.6978155339805826
212,Turks and Caicos,6522.0,38.0,6451.0,33.0,611527.0,39741.0,< 1M,0.5826433609322293
213,Sao Tome and Principe,6280.0,77.0,6202.0,1.0,29036.0,227679.0,< 1M,1.2261146496815287
214,Palau,5986.0,9.0,5976.0,1.0,68820.0,18233.0,< 1M,0.1503508185766789
215,St. Barth,5420.0,6.0,0.0,0.0,78646.0,9945.0,< 1M,0.11070110701107011
216,Kiribati,5008.0,18.0,2703.0,2287.0,0.0,123419.0,< 1M,0.35942492012779553
217,Nauru,4621.0,1.0,4609.0,11.0,20509.0,10903.0,< 1M,0.02164033758926639
218,Anguilla,3904.0,12.0,3879.0,13.0,51382.0,15230.0,< 1M,0.3073770491803279
219,Macao,3488.0,120.0,3357.0,11.0,7850.0,667490.0,< 1M,3.4403669724770642
220,Saint Pierre Miquelon,3452.0,2.0,2449.0,1001.0,25400.0,5759.0,< 1M,0.057937427578215524
221,Wallis and Futuna,3427.0,7.0,438.0,2982.0,20508.0,10982.0,< 1M,0.20426028596440038
222,Tuvalu,2805.0,0.0,0.0,2805.0,0.0,12066.0,< 1M,0.0
223,Saint Helena,2166.0,0.0,2.0,2164.0,0.0,6115.0,< 1M,0.0
224,Falkland Islands,1930.0,0.0,1930.0,0.0,8632.0,3539.0,< 1M,0.0
225,Montserrat,1403.0,8.0,1376.0,19.0,17762.0,4965.0,< 1M,0.5702066999287242
226,Niue,747.0,0.0,746.0,1.0,0.0,1622.0,< 1M,0.0
227,Diamond Princess,712.0,13.0,699.0,0.0,0.0,0.0,,1.8258426966292134
228,Vatican City,29.0,0.0,29.0,0.0,0.0,799.0,< 1M,0.0
229,Western Sahara,10.0,1.0,9.0,0.0,0.0,626161.0,< 1M,10.0
230,MS Zaandam,9.0,2.0,7.0,0.0,0.0,0.0,,22.22222222222222
231,Tokelau,5.0,0.0,0.0,5.0,0.0,1378.0,< 1M,0.0
.
